est_time_microsecs,motion_detected
10380780455.0,0
10380864097.0,0
10380941117.0,1
10381057159.0,1
10381184391.0,0
10381299875.0,0
10381416846.0,0
10381544737.0,0
10381661199.0,1
10381780731.0,0
10381932792.0,0
10382056689.0,0
10382174825.0,0
10382298748.0,0
10382414668.0,0
10382542706.0,0
10382658677.0,0
10382786057.0,0
10382901858.0,1
10383030042.0,1
10383182721.0,0
10383306172.0,0
10383421680.0,0
10383549368.0,0
10383664693.0,0
10383792624.0,0
10383908429.0,0
10384036041.0,0
10384151731.0,0
10384279172.0,0
10384432244.0,0
10384556183.0,0
10384671807.0,0
10384799387.0,0
10384915096.0,0
10385042405.0,0
10385157898.0,0
10385285680.0,0
10385400970.0,0
10385528947.0,0
10385682580.0,0
10385805913.0,0
10385921654.0,0
10386041575.0,0
10386165580.0,0
10386281284.0,0
10386409157.0,0
10386525038.0,0
10386652550.0,0
10386768607.0,1
10386884809.74,-1
10387001012.48,-1
10387117215.22,-1
10387233417.96,-1
10387349620.7,-1
10387465823.44,-1
10387582026.18,-1
10387698228.92,-1
10387814431.66,-1
10387930634.4,-1
10388046837.14,-1
10388163039.88,-1
10388279242.62,-1
10388395445.36,-1
10388511648.1,-1
10388627850.84,-1
10388744053.58,-1
10388860256.32,-1
10388976459.06,-1
10389092661.8,-1
10389208864.54,-1
10389325067.28,-1
10389441270.02,-1
10389557472.76,-1
10389673675.5,-1
10389789878.24,-1
10389906080.98,-1
10390022283.72,-1
10390138486.46,-1
10390254689.2,-1
10390370891.94,-1
10390487094.68,-1
10390603297.42,-1
10390719500.16,-1
10390835702.9,-1
10390951905.64,-1
10391068108.38,-1
10391184311.12,-1
10391300513.86,-1
10391416716.6,-1
10391532919.34,-1
10391649122.08,-1
10391765324.82,-1
10391881527.56,-1
10391997730.3,-1
10392113933.04,-1
10392230135.78,-1
10392346338.52,-1
10392462541.26,-1
10392578744.0,1
10392665641.0,0
10392742088.0,0
10392818674.0,0
10392902114.0,0
10392978503.0,0
10393058381.0,0
10393145118.0,0
10393221413.0,0
10393305015.0,0
10393403335.0,0
10393481583.0,0
10393580096.0,0
10393699776.0,0
10393824226.0,1
10393939797.0,0
10394067085.0,0
10394182411.0,0
10394310157.0,0
10394429436.0,0
10394590547.0,0
10394706379.0,0
10394829729.0,0
10394949057.0,0
10395063457.0,0
10395190748.0,0
10395317305.0,0
10395433052.0,0
10395560077.0,0
10395679431.0,0
10395840470.0,0
10395956726.0,0
10396075121.0,0
10396198385.0,0
10396322560.0,0
10396449146.0,0
10396564823.0,0
10396687187.0,0
10396810662.0,0
10396926446.0,0
10397087082.0,0
10397203561.0,1
10397322643.0,0
10397437683.0,0
10397565069.0,0
10397684338.0,0
10397808208.0,0
10397923333.0,0
10398051065.0,0
10398167018.0,0
10398323002.0,0
10398446472.0,0
10398566236.0,0
10398689908.0,0
10398809648.0,0
10398931841.0,0
10399047769.0,0
10399175138.0,0
10399294378.0,0
10399418622.0,0
10399534402.8,-1
10399650183.6,-1
10399765964.4,-1
10399881745.2,-1
10399997526.0,-1
10400113306.8,-1
10400229087.6,-1
10400344868.4,-1
10400460649.2,-1
10400576430.0,-1
10400692210.8,-1
10400807991.6,-1
10400923772.4,-1
10401039553.2,-1
10401155334.0,-1
10401271114.8,-1
10401386895.6,-1
10401502676.4,-1
10401618457.2,-1
10401734238.0,-1
10401850018.8,-1
10401965799.6,-1
10402081580.4,-1
10402197361.2,-1
10402313142.0,-1
10402428922.8,-1
10402544703.6,-1
10402660484.4,-1
10402776265.2,-1
10402892046.0,-1
10403007826.8,-1
10403123607.6,-1
10403239388.4,-1
10403355169.2,-1
10403470950.0,-1
10403586730.8,-1
10403702511.6,-1
10403818292.4,-1
10403934073.2,-1
10404049854.0,-1
10404165634.8,-1
10404281415.6,-1
10404397196.4,-1
10404512977.2,-1
10404628758.0,-1
10404744538.8,-1
10404860319.6,-1
10404976100.4,-1
10405091881.2,-1
10405207662.0,0
10405287777.0,0
10405371371.0,0
10405458196.0,0
10405534498.0,0
10405614577.0,0
10405701715.0,0
10405785179.0,0
10405861758.0,0
10405941726.0,0
10406036324.0,0
10406112943.0,0
10406205400.0,0
10406324840.0,0
10406448242.0,0
10406568020.0,0
10406683849.0,0
10406802547.0,0
10406926573.0,0
10407046217.0,0
10407205292.0,0
10407328396.0,0
10407446546.0,0
10407561019.0,0
10407687688.0,0
10407807123.0,0
10407925138.0,0
10408043675.0,0
10408161955.0,0
10408284291.0,0
10408443398.0,0
10408562336.0,0
10408676949.0,0
10408799472.0,0
10408922208.0,0
10409040357.0,0
10409154979.0,0
10409277038.0,0
10409399836.0,0
10409518222.0,0
10409670770.0,0
10409793568.0,0
10409912352.0,0
10410031589.0,0
10410153713.0,0
10410272905.0,0
10410391328.0,0
10410509594.0,0
10410632274.0,0
10410751199.0,0
10410902576.0,0
10411021353.0,0
10411144004.0,0
10411263305.0,0
10411376891.0,0
10411495153.0,0
10411622473.0,1
10411748821.0,1
10411864100.0,0
10411986363.0,0
10412102207.02,-1
10412218051.04,-1
10412333895.06,-1
10412449739.08,-1
10412565583.1,-1
10412681427.12,-1
10412797271.14,-1
10412913115.16,-1
10413028959.18,-1
10413144803.2,-1
10413260647.22,-1
10413376491.24,-1
10413492335.26,-1
10413608179.28,-1
10413724023.3,-1
10413839867.32,-1
10413955711.34,-1
10414071555.36,-1
10414187399.38,-1
10414303243.4,-1
10414419087.42,-1
10414534931.44,-1
10414650775.46,-1
10414766619.48,-1
10414882463.5,-1
10414998307.52,-1
10415114151.54,-1
10415229995.56,-1
10415345839.58,-1
10415461683.6,-1
10415577527.62,-1
10415693371.64,-1
10415809215.66,-1
10415925059.68,-1
10416040903.7,-1
10416156747.72,-1
10416272591.74,-1
10416388435.76,-1
10416504279.78,-1
10416620123.8,-1
10416735967.82,-1
10416851811.84,-1
10416967655.86,-1
10417083499.88,-1
10417199343.9,-1
10417315187.92,-1
10417431031.94,-1
10417546875.96,-1
10417662719.98,-1
10417778564.0,0
10417861816.0,0
10417938107.0,0
10418021496.0,0
10418105076.0,0
10418181564.0,0
10418264860.0,0
10418348304.0,0
10418432218.0,0
10418508601.0,0
10418608672.0,1
10418685177.0,1
10418804149.0,0
10418927588.0,0
10419046805.0,0
10419170523.0,0
10419290273.0,0
10419404371.0,0
10419531945.0,0
10419647233.0,0
10419808013.0,0
10419927978.0,0
10420047153.0,0
10420170634.0,0
10420290098.0,0
10420413898.0,0
10420538455.0,0
10420654396.0,0
10420774946.0,0
10420894347.0,0
10421066842.0,0
10421182589.0,0
10421310305.0,0
10421426167.0,0
10421548439.0,0
10421671822.0,0
10421791768.0,0
10421915239.0,0
10422035036.0,0
10422157784.0,0
10422311657.0,1
10422434798.0,1
10422550201.0,0
10422678130.0,0
10422793521.0,0
10422913492.0,0
10423037337.0,0
10423157214.0,0
10423271584.0,0
10423399022.0,0
10423552177.0,0
10423676143.0,0
10423791879.0,0
10423919767.0,0
10424044230.0,0
10424163749.0,0
10424287366.0,0
10424406634.0,0
10424530456.0,0
10424650241.0,0
10424766204.68,-1
10424882168.36,-1
10424998132.04,-1
10425114095.72,-1
10425230059.4,-1
10425346023.08,-1
10425461986.76,-1
10425577950.44,-1
10425693914.12,-1
10425809877.8,-1
10425925841.48,-1
10426041805.16,-1
10426157768.84,-1
10426273732.52,-1
10426389696.2,-1
10426505659.88,-1
10426621623.56,-1
10426737587.24,-1
10426853550.92,-1
10426969514.6,-1
10427085478.28,-1
10427201441.96,-1
10427317405.64,-1
10427433369.32,-1
10427549333.0,-1
10427665296.68,-1
10427781260.36,-1
10427897224.04,-1
10428013187.72,-1
10428129151.4,-1
10428245115.08,-1
10428361078.76,-1
10428477042.44,-1
10428593006.12,-1
10428708969.8,-1
10428824933.48,-1
10428940897.16,-1
10429056860.84,-1
10429172824.52,-1
10429288788.2,-1
10429404751.88,-1
10429520715.56,-1
10429636679.24,-1
10429752642.92,-1
10429868606.6,-1
10429984570.28,-1
10430100533.96,-1
10430216497.64,-1
10430332461.32,-1
10430448425.0,0
10430528256.0,0
10430604653.0,0
10430688161.0,0
10430764628.0,0
10430844755.0,0
10430931643.0,0
10431008329.0,1
10431091508.0,1
10431175218.0,1
10431273573.0,0
10431349910.0,0
10431436415.0,0
10431560309.0,0
10431675653.0,0
10431803196.0,0
10431928781.0,1
10432045016.0,1
10432165287.0,0
10432279935.0,0
10432440225.0,0
10432561247.0,0
10432684128.0,0
10432799660.0,0
10432923234.0,1
10433039035.0,0
10433157035.0,0
10433273973.0,0
10433397296.0,0
10433513111.0,0
10433673283.0,0
10433792864.0,0
10433911562.0,0
10434035409.0,0
10434162530.0,0
10434268040.0,0
10434346522.0,0
10434427566.0,0
10434503732.0,0
10434587197.0,0
10434681126.0,0
10434757328.0,0
10434839991.0,0
10434916138.0,0
10435009943.0,0
10435127714.0,0
10435249938.0,0
10435369421.0,0
10435483315.0,0
10435610507.0,0
10435770130.0,0
10435889402.0,0
10436003304.0,0
10436130029.0,0
10436256323.0,0
10436375270.0,0
10436493526.0,0
10436617512.0,0
10436733240.0,0
10436861127.0,0
10436977267.88,-1
10437093408.76,-1
10437209549.64,-1
10437325690.52,-1
10437441831.4,-1
10437557972.28,-1
10437674113.16,-1
10437790254.04,-1
10437906394.92,-1
10438022535.8,-1
10438138676.68,-1
10438254817.56,-1
10438370958.44,-1
10438487099.32,-1
10438603240.2,-1
10438719381.08,-1
10438835521.96,-1
10438951662.84,-1
10439067803.72,-1
10439183944.6,-1
10439300085.48,-1
10439416226.36,-1
10439532367.24,-1
10439648508.12,-1
10439764649.0,-1
10439880789.88,-1
10439996930.76,-1
10440113071.64,-1
10440229212.52,-1
10440345353.4,-1
10440461494.28,-1
10440577635.16,-1
10440693776.04,-1
10440809916.92,-1
10440926057.8,-1
10441042198.68,-1
10441158339.56,-1
10441274480.44,-1
10441390621.32,-1
10441506762.2,-1
10441622903.08,-1
10441739043.96,-1
10441855184.84,-1
10441971325.72,-1
10442087466.6,-1
10442203607.48,-1
10442319748.36,-1
10442435889.24,-1
10442552030.12,-1
10442668171.0,0
10442748346.0,0
10442831769.0,0
10442908276.0,0
10442991624.0,0
10443067954.0,0
10443144295.0,0
10443228015.0,0
10443304299.0,0
10443384298.0,0
10443486310.0,0
10443562908.0,0
10443639747.0,0
10443763572.0,0
10443879143.0,0
10444002005.0,0
10444118656.0,1
10444241009.0,0
10444360610.0,0
10444480509.0,0
10444637545.0,0
10444761650.0,0
10444880262.0,0
10444995622.0,0
10445122878.0,0
10445238444.0,0
10445366330.0,0
10445484416.0,0
10445603997.0,0
10445719864.0,0
10445880441.0,0
10445997073.0,1
10446111907.0,1
10446231064.0,0
10446346128.0,0
10446473783.0,1
10446589491.0,1
10446716054.0,0
10446835423.0,0
10446959164.0,0
10447113302.0,1
10447236296.0,0
10447355403.0,0
10447474770.0,0
10447590407.0,0
10447714138.0,0
10447830066.0,0
10447957759.0,0
10448073414.0,0
10448200766.0,0
10448361375.0,1
10448481460.0,1
10448605230.0,0
10448728614.0,0
10448848818.0,1
10448972910.0,1
10449088074.0,0
10449215799.0,0
10449331666.0,0
10449452537.0,0
10449568099.46,-1
10449683661.92,-1
10449799224.38,-1
10449914786.84,-1
10450030349.3,-1
10450145911.76,-1
10450261474.22,-1
10450377036.68,-1
10450492599.14,-1
10450608161.6,-1
10450723724.06,-1
10450839286.52,-1
10450954848.98,-1
10451070411.44,-1
10451185973.9,-1
10451301536.36,-1
10451417098.82,-1
10451532661.28,-1
10451648223.74,-1
10451763786.2,-1
10451879348.66,-1
10451994911.12,-1
10452110473.58,-1
10452226036.04,-1
10452341598.5,-1
10452457160.96,-1
10452572723.42,-1
10452688285.88,-1
10452803848.34,-1
10452919410.8,-1
10453034973.26,-1
10453150535.72,-1
10453266098.18,-1
10453381660.64,-1
10453497223.1,-1
10453612785.56,-1
10453728348.02,-1
10453843910.48,-1
10453959472.94,-1
10454075035.4,-1
10454190597.86,-1
10454306160.32,-1
10454421722.78,-1
10454537285.24,-1
10454652847.7,-1
10454768410.16,-1
10454883972.62,-1
10454999535.08,-1
10455115097.54,-1
10455230660.0,1
10455311284.0,0
10455398369.0,0
10455474732.0,0
10455554941.0,0
10455641769.0,0
10455718324.0,0
10455798123.0,0
10455885073.0,0
10455968459.0,0
10456061278.0,0
10456146667.0,0
10456270220.0,0
10456385969.0,0
