[I 230512 12:46:58 main:247] Iteration 245 started
[I 230512 12:46:59 main:247] Iteration 246 started
[I 230512 12:46:59 main:247] Iteration 247 started
[I 230512 12:46:59 main:247] Iteration 248 started
[I 230512 12:46:59 main:247] Iteration 249 started
[I 230512 12:46:59 main:247] Iteration 250 started
[I 230512 12:46:59 main:247] Iteration 251 started
[I 230512 12:46:59 main:247] Iteration 252 started
[I 230512 12:46:59 main:247] Iteration 253 started
[I 230512 12:46:59 main:247] Iteration 254 started
[I 230512 12:46:59 main:247] Iteration 255 started
[I 230512 12:47:00 main:247] Iteration 256 started
[I 230512 12:47:00 main:247] Iteration 257 started
[I 230512 12:47:00 main:247] Iteration 258 started
[I 230512 12:47:00 main:247] Iteration 259 started
[I 230512 12:47:00 main:247] Iteration 260 started
[I 230512 12:47:00 main:247] Iteration 261 started
[I 230512 12:47:00 main:247] Iteration 262 started
[I 230512 12:47:00 main:247] Iteration 263 started
[I 230512 12:47:01 main:247] Iteration 264 started
[I 230512 12:47:01 main:247] Iteration 265 started
[I 230512 12:47:01 main:247] Iteration 266 started
[I 230512 12:47:01 main:247] Iteration 267 started
[I 230512 12:47:01 main:247] Iteration 268 started
[I 230512 12:47:01 main:247] Iteration 269 started
[I 230512 12:47:01 main:247] Iteration 270 started
[I 230512 12:47:01 main:247] Iteration 271 started
[I 230512 12:47:01 main:247] Iteration 272 started
[I 230512 12:47:01 main:247] Iteration 273 started
[I 230512 12:47:02 main:247] Iteration 274 started
[I 230512 12:47:02 main:247] Iteration 275 started
[I 230512 12:47:02 main:247] Iteration 276 started
[I 230512 12:47:02 main:247] Iteration 277 started
[I 230512 12:47:02 main:247] Iteration 278 started
[I 230512 12:47:02 main:247] Iteration 279 started
[I 230512 12:47:02 main:247] Iteration 280 started
[I 230512 12:47:02 main:247] Iteration 281 started
[I 230512 12:47:02 main:247] Iteration 282 started
[I 230512 12:47:02 main:247] Iteration 283 started
[I 230512 12:47:03 main:247] Iteration 284 started
[I 230512 12:47:03 main:247] Iteration 285 started
[I 230512 12:47:03 main:247] Iteration 286 started
[I 230512 12:47:03 main:247] Iteration 287 started
[I 230512 12:47:03 main:247] Iteration 288 started
[I 230512 12:47:03 main:247] Iteration 289 started
[I 230512 12:47:03 main:247] Iteration 290 started
[I 230512 12:47:03 main:247] Iteration 291 started
[I 230512 12:47:04 main:247] Iteration 292 started
[I 230512 12:47:04 main:247] Iteration 293 started
[I 230512 12:47:04 main:247] Iteration 294 started
[I 230512 12:47:04 main:247] Iteration 295 started
[I 230512 12:47:04 main:247] Iteration 296 started
[I 230512 12:47:04 main:247] Iteration 297 started
[I 230512 12:47:04 main:247] Iteration 298 started
[I 230512 12:47:04 main:247] Iteration 299 started
[I 230512 12:47:05 main:247] Iteration 300 started
[I 230512 12:47:10 main:159] Humans detected: 0
[I 230512 12:47:10 main:247] Iteration 301 started
[I 230512 12:47:10 main:247] Iteration 302 started
[I 230512 12:47:11 main:247] Iteration 303 started
[I 230512 12:47:11 main:247] Iteration 304 started
[I 230512 12:47:11 main:247] Iteration 305 started
[I 230512 12:47:11 main:247] Iteration 306 started
[I 230512 12:47:11 main:247] Iteration 307 started
[I 230512 12:47:11 main:247] Iteration 308 started
[I 230512 12:47:11 main:247] Iteration 309 started
[I 230512 12:47:11 main:247] Iteration 310 started
[I 230512 12:47:11 main:247] Iteration 311 started
[I 230512 12:47:11 main:247] Iteration 312 started
[I 230512 12:47:11 main:247] Iteration 313 started
[I 230512 12:47:12 main:247] Iteration 314 started
[I 230512 12:47:12 main:247] Iteration 315 started
[I 230512 12:47:12 main:247] Iteration 316 started
[I 230512 12:47:12 main:247] Iteration 317 started
[I 230512 12:47:12 main:247] Iteration 318 started
[I 230512 12:47:12 main:247] Iteration 319 started
[I 230512 12:47:12 main:247] Iteration 320 started
[I 230512 12:47:12 main:247] Iteration 321 started
[I 230512 12:47:13 main:247] Iteration 322 started
[I 230512 12:47:13 main:247] Iteration 323 started
[I 230512 12:47:13 main:247] Iteration 324 started
[I 230512 12:47:13 main:247] Iteration 325 started
[I 230512 12:47:13 main:247] Iteration 326 started
[I 230512 12:47:13 main:247] Iteration 327 started
[I 230512 12:47:13 main:247] Iteration 328 started
[I 230512 12:47:13 main:247] Iteration 329 started
[I 230512 12:47:13 main:247] Iteration 330 started
[I 230512 12:47:14 main:247] Iteration 331 started
[I 230512 12:47:14 main:247] Iteration 332 started
[I 230512 12:47:14 main:247] Iteration 333 started
[I 230512 12:47:14 main:247] Iteration 334 started
[I 230512 12:47:14 main:247] Iteration 335 started
[I 230512 12:47:14 main:247] Iteration 336 started
[I 230512 12:47:14 main:247] Iteration 337 started
[I 230512 12:47:14 main:247] Iteration 338 started
[I 230512 12:47:15 main:247] Iteration 339 started
[I 230512 12:47:15 main:247] Iteration 340 started
[I 230512 12:47:15 main:247] Iteration 341 started
[I 230512 12:47:15 main:247] Iteration 342 started
[I 230512 12:47:15 main:247] Iteration 343 started
[I 230512 12:47:15 main:247] Iteration 344 started
[I 230512 12:47:15 main:247] Iteration 345 started
[I 230512 12:47:15 main:247] Iteration 346 started
